company_nature,stock_id,stock_name,stock_website
中外合资企业,000513.SZ,丽珠集团,http://www.livzon.com.cn 
其它,000514.SZ,渝开发,http://www.cqukf.com 
投资公司,000516.SZ,国际医学,http://www.000516.cn 
民营企业,000517.SZ,荣安地产,http://www.rongan.com.cn 
其它,000518.SZ,四环生物,http://www.000518shsw.com 
国有企业,000519.SZ,中兵红箭,http://www.zbhj.norincogroup.com.cn 
其它,000520.SZ,长航凤凰,http://zgchfh.sinotrans-csc.com 
其它,000521.SZ,长虹美菱,http://www.meiling.com 
其它,000523.SZ,广州浪奇,http://www.lonkey.com.cn 
其它,000524.SZ,岭南控股,http://www.gzlnholdings.com 
其它,000525.SZ,红太阳,http://www.chinaredsun.com 
其它,000526.SZ,紫光学大,http:// 
其它,000528.SZ,柳工,http://www.liugong.com 
其它,000529.SZ,广弘控股,http://www.ghkg000529.com 
其它,000530.SZ,冰山冷热,http://www.bingshan.cn 
其它,000531.SZ,穗恒运A,http://www.hengyun.com.cn 
其它,000532.SZ,华金资本,http://www.huajinct.com 
其它,000533.SZ,顺钠股份,http://www.shunna.com.cn 
其它,000534.SZ,万泽股份,http://www.wedgeind.com 
其它,000536.SZ,*ST华映,http://www.cpttg.com 
其它,000537.SZ,广宇发展,http://www.gyfz000537.com 
其它,000538.SZ,云南白药,http://www.yunnanbaiyao.com.cn 
其它,000539.SZ,粤电力A,http://www.ged.com.cn 
其它,000540.SZ,中天金融,http://www.ztfgroup.com 
其它,000541.SZ,佛山照明,http://www.chinafsl.com 
其它,000543.SZ,皖能电力,http://www.wenergy.cn 
其它,000544.SZ,中原环保,http://www.cpepgc.com 
其它,000545.SZ,金浦钛业,http://www.nthcl.com 
其它,000546.SZ,金圆股份,http://www.jysn.com 
其它,000547.SZ,航天发展,http://www.casic-addsino.com 
投资公司,000548.SZ,湖南投资,http://www.hntz.com.cn 
其它,000550.SZ,江铃汽车,http://www.jmc.com.cn 
其它,000551.SZ,创元科技,http://www.000551.cn 
其它,000552.SZ,靖远煤电,http://www.jymdgs.com 
其它,000553.SZ,安道麦A,http://www.adama.com 
其它,000554.SZ,泰山石油,http:// 
