company_nature,stock_id,stock_name,stock_website
民营相对控股企业,000426.SZ,兴业矿业,http://www.nmxyky.com 
未知,000428.SZ,华天酒店,http://www.huatian-hotel.com 
未知,000429.SZ,粤高速A,http://www.gpedcl.com 
未知,000430.SZ,张家界,http://www.zjjlyjt.com 
未知,000488.SZ,晨鸣纸业,http://www.chenmingpaper.com 
未知,000498.SZ,山东路桥,http://www.sdlqgf.com 
未知,000501.SZ,鄂武商A,http://www.wushang.com.cn 
民营企业,000502.SZ,绿景控股,http://www.000502.cn 
国有企业,000503.SZ,国新健康,http://www.crhms.cn 
未知,000504.SZ,ST生物,http://www.nhbiogroup.com 
未知,000505.SZ,京粮控股,http:// 
民营相对控股企业,000506.SZ,中润资源,http://www.sdzr.com 
未知,000507.SZ,珠海港,http://www.0507.com.cn 
民营相对控股企业,000509.SZ,*ST华塑,http:// 
民营企业,000510.SZ,新金路,http://www.xjinlu.cn 
中外合资企业,000513.SZ,丽珠集团,http://www.livzon.com.cn 
未知,000514.SZ,渝开发,http://www.cqukf.com 
民营企业,000516.SZ,国际医学,http://www.000516.cn 
民营企业,000517.SZ,荣安地产,http://www.rongan.com.cn 
民营相对控股企业,000518.SZ,四环生物,http://www.000518shsw.com 
国有企业,000519.SZ,中兵红箭,http://www.zbhj.norincogroup.com.cn 
民营企业,000520.SZ,长航凤凰,http://zgchfh.sinotrans-csc.com 
未知,000521.SZ,长虹美菱,http://www.meiling.com 
未知,000523.SZ,广州浪奇,http://www.lonkey.com.cn 
未知,000524.SZ,岭南控股,http://www.gzlnholdings.com 
民营相对控股企业,000525.SZ,红太阳,http://www.chinaredsun.com 
国有企业,000526.SZ,紫光学大,http:// 
未知,000528.SZ,柳工,http://www.liugong.com 
未知,000529.SZ,广弘控股,http://www.ghkg000529.com 
民营企业,000530.SZ,冰山冷热,http://www.bingshan.cn 
未知,000531.SZ,穗恒运A,http://www.hengyun.com.cn 
未知,000532.SZ,华金资本,http://www.huajinct.com 
民营相对控股企业,000533.SZ,顺钠股份,http://www.shunna.com.cn 
民营相对控股企业,000534.SZ,万泽股份,http://www.wedgeind.com 
中外合资企业,000536.SZ,*ST华映,http://www.cpttg.com 
国有企业,000537.SZ,广宇发展,http://www.gyfz000537.com 
未知,000538.SZ,云南白药,http://www.yunnanbaiyao.com.cn 
未知,000539.SZ,粤电力A,http://www.ged.com.cn 
民营企业,000540.SZ,中天金融,http://www.ztfgroup.com 
未知,000541.SZ,佛山照明,http://www.chinafsl.com 
未知,000543.SZ,皖能电力,http://www.wenergy.cn 
未知,000544.SZ,中原环保,http://www.cpepgc.com 
民营相对控股企业,000545.SZ,金浦钛业,http://www.nthcl.com 
民营企业,000546.SZ,金圆股份,http://www.jysn.com 
国有企业,000547.SZ,航天发展,http://www.casic-addsino.com 
未知,000548.SZ,湖南投资,http://www.hntz.com.cn 
未知,000550.SZ,江铃汽车,http://www.jmc.com.cn 
未知,000551.SZ,创元科技,http://www.000551.cn 
未知,000552.SZ,靖远煤电,http://www.jymdgs.com 
国有企业,000553.SZ,安道麦A,http://www.adama.com 
国有相对控股企业,000554.SZ,泰山石油,http:// 
中外合资企业,000555.SZ,神州信息,http://www.dcits.com 
未知,000557.SZ,西部创业,http://www.xbcy.nx.cn 
未知,000558.SZ,莱茵体育,http://www.lander.com.cn 
民营相对控股企业,000559.SZ,万向钱潮,http://www.wxqc.com.cn 
民营企业,000560.SZ,我爱我家,http://www.000560.5i5j.com 
未知,000561.SZ,烽火电子,http://www.fenghuo.cn 
未知,000563.SZ,陕国投A,http://www.siti.com.cn 
民营企业,000564.SZ,供销大集,http://www.gongxiaodaji.com 
未知,000565.SZ,渝三峡A,http://www.sanxia.com 
国有企业,000566.SZ,海南海药,http://www.haiyao.com.cn 
民营企业,000567.SZ,海德股份,http://www.000567.com 
未知,000568.SZ,泸州老窖,http://www.lzlj.com 
未知,000570.SZ,苏常柴A,http://www.changchai.com.cn 
民营企业,000571.SZ,*ST大洲,http://www.sundiro.com 
民营相对控股企业,000572.SZ,ST海马,http://www.haima.com 
民营企业,000573.SZ,粤宏远A,http://www.winnerway.com.cn 
民营企业,000576.SZ,广东甘化,http://www.gdganhua.com 
未知,000581.SZ,威孚高科,http://www.weifu.com.cn 
未知,000582.SZ,北部湾港,http://www.bbwport.cn 
民营企业,000584.SZ,哈工智能,http://www.hgzngroup.com 
中外合资企业,000585.SZ,*ST东电,http://www.nee.com.cn 
民营相对控股企业,000586.SZ,汇源通信,http://www.schy.com.cn 
民营企业,000587.SZ,*ST金洲,http://www.goldzb.com 
未知,000589.SZ,贵州轮胎,http://www.gztyre.com 
国有相对控股企业,000590.SZ,启迪古汉,http://www.guhan.com 
国有企业,000591.SZ,太阳能,http://www.cecsec.cn 
民营企业,000592.SZ,平潭发展,http://www.000592.com 
民营企业,000593.SZ,大通燃气,http://www.dtrq.com 
民营企业,000595.SZ,*ST宝实,http://www.nxz.com.cn 
未知,000596.SZ,古井贡酒,http://www.gujing.com 
民营企业,000597.SZ,东北制药,http://www.nepharm.com.cn 
未知,000598.SZ,兴蓉环境,http://www.cdxrec.com 
未知,000599.SZ,青岛双星,http://www.doublestar.com.cn 
未知,000600.SZ,建投能源,http://www.jei.com.cn 
民营企业,000601.SZ,韶能股份,"http://www.shaoneng.com.cn,www.sn0601.com "
民营企业,000603.SZ,盛达资源,http://www.sdkygf.com 
未知,000605.SZ,渤海股份,http://www.bohai-water.com 
民营企业,000606.SZ,顺利办,http://www.shunliban.com 
未知,000607.SZ,华媒控股,http://www.000607.cn 
中外合资企业,000608.SZ,阳光股份,http://www.yangguangxinye.com 
民营相对控股企业,000609.SZ,中迪投资,http://www.zdinvest.com 
未知,000610.SZ,西安旅游,http://www.xatourism.com 
民营企业,000611.SZ,*ST天首,http:// 
民营相对控股企业,000612.SZ,焦作万方,http://www.jzwfly.cn 
民营相对控股企业,000613.SZ,大东海A,http:// 
民营相对控股企业,000615.SZ,京汉股份,http://www.000615.com.cn 
民营企业,000616.SZ,海航投资,http://www.hnainvestment.com 
国有企业,000617.SZ,中油资本,http://www.cnpccapital.cn 
未知,000619.SZ,海螺型材,http://profile.conch.cn 
民营企业,000620.SZ,新华联,http://www.xhlwl.com.cn 
民营相对控股企业,000622.SZ,恒立实业,http://www.hlsyfzjt.com 
民营企业,000623.SZ,吉林敖东,http://www.jlaod.com 
