000049.SZ,49,德赛电池,深圳,电气设备,主板,19950320,0,de-sai-dian-chi000049.SZ德赛电池,,,,,,,,,,,,,,,,,,,,
000050.SZ,50,深天马A,深圳,元器件,主板,19950315,0,shen-tian-ma-a000050.SZ深天马A,,,,,,,,,,,,,,,,,,,,
000055.SZ,55,方大集团,深圳,其他建材,主板,19960415,0,fang-da-ji-tuan000055.SZ方大集团,,,,,,,,,,,,,,,,,,,,
000056.SZ,56,皇庭国际,深圳,房产服务,主板,19960708,0,huang-ting-guo-ji000056.SZ皇庭国际,,,,,,,,,,,,,,,,,,,,
000058.SZ,58,深赛格,深圳,元器件,主板,19961226,0,shen-sai-ge000058.SZ深赛格,,,,,,,,,,,,,,,,,,,,
000059.SZ,59,华锦股份,辽宁,石油加工,主板,19970130,0,hua-jin-gu-fen000059.SZ华锦股份,,,,,,,,,,,,,,,,,,,,
000060.SZ,60,中金岭南,深圳,铅锌,主板,19970123,0,zhong-jin-ling-nan000060.SZ中金岭南,,,,,,,,,,,,,,,,,,,,
000061.SZ,61,农产品,深圳,农业综合,主板,19970110,0,nong-chan-pin000061.SZ农产品,,,,,,,,,,,,,,,,,,,,
000062.SZ,62,深圳华强,深圳,批发业,主板,19970130,0,shen-zhen-hua-qiang000062.SZ深圳华强,,,,,,,,,,,,,,,,,,,,
000063.SZ,63,中兴通讯,深圳,通信设备,主板,19971118,0,zhong-xing-tong-xun000063.SZ中兴通讯,,,,,,,,,,,,,,,,,,,,
000065.SZ,65,北方国际,北京,建筑工程,主板,19980605,0,bei-fang-guo-ji000065.SZ北方国际,,,,,,,,,,,,,,,,,,,,
000066.SZ,66,中国长城,深圳,IT设备,主板,19970626,0,zhong-guo-chang-cheng000066.SZ中国长城,,,,,,,,,,,,,,,,,,,,
000068.SZ,68,华控赛格,深圳,环境保护,主板,19970611,0,hua-kong-sai-ge000068.SZ华控赛格,,,,,,,,,,,,,,,,,,,,
000069.SZ,69,华侨城A,深圳,旅游景点,主板,19970910,0,hua-qiao-cheng-a000069.SZ华侨城A,,,,,,,,,,,,,,,,,,,,
000070.SZ,70,特发信息,深圳,通信设备,主板,20000511,0,te-fa-xin-xi000070.SZ特发信息,,,,,,,,,,,,,,,,,,,,
000078.SZ,78,海王生物,深圳,医药商业,主板,19981218,0,hai-wang-sheng-wu000078.SZ海王生物,,,,,,,,,,,,,,,,,,,,
000088.SZ,88,盐田港,深圳,港口,主板,19970728,0,yan-tian-gang000088.SZ盐田港,,,,,,,,,,,,,,,,,,,,
000089.SZ,89,深圳机场,深圳,机场,主板,19980420,0,shen-zhen-ji-chang000089.SZ深圳机场,,,,,,,,,,,,,,,,,,,,
000090.SZ,90,天健集团,深圳,建筑工程,主板,19990721,0,tian-jian-ji-tuan000090.SZ天健集团,,,,,,,,,,,,,,,,,,,,
000096.SZ,96,广聚能源,深圳,石油贸易,主板,20000724,0,yan-ju-neng-yuan000096.SZ广聚能源,,,,,,,,,,,,,,,,,,,,
000099.SZ,99,中信海直,深圳,空运,主板,20000731,0,zhong-xin-hai-zhi000099.SZ中信海直,,,,,,,,,,,,,,,,,,,,
000100.SZ,100,TCL科技,广东,元器件,主板,20040130,0,tclke-ji000100.SZTCL科技,,,,,,,,,,,,,,,,,,,,
000150.SZ,150,宜华健康,广东,医疗保健,主板,20000807,0,yi-hua-jian-kang000150.SZ宜华健康,,,,,,,,,,,,,,,,,,,,
000151.SZ,151,中成股份,北京,商贸代理,主板,20000906,0,zhong-cheng-gu-fen000151.SZ中成股份,,,,,,,,,,,,,,,,,,,,
000153.SZ,153,丰原药业,安徽,化学制药,主板,20000920,0,feng-yuan-yao-ye000153.SZ丰原药业,,,,,,,,,,,,,,,,,,,,
000155.SZ,155,川能动力,四川,新型电力,主板,20000926,0,chuan-neng-dong-li000155.SZ川能动力,,,,,,,,,,,,,,,,,,,,
000156.SZ,156,华数传媒,浙江,影视音像,主板,20000906,0,hua-shu-chuan-mei000156.SZ华数传媒,,,,,,,,,,,,,,,,,,,,
000157.SZ,157,中联重科,湖南,工程机械,主板,20001012,0,zhong-lian-zhong-ke000157.SZ中联重科,,,,,,,,,,,,,,,,,,,,
000158.SZ,158,常山北明,河北,软件服务,主板,20000724,0,chang-shan-bei-ming000158.SZ常山北明,,,,,,,,,,,,,,,,,,,,
000159.SZ,159,国际实业,新疆,石油贸易,主板,20000926,0,guo-ji-shi-ye000159.SZ国际实业,,,,,,,,,,,,,,,,,,,,
000166.SZ,166,申万宏源,新疆,证券,主板,20150126,0,shen-mo-hong-yuan000166.SZ申万宏源,,,,,,,,,,,,,,,,,,,,
000301.SZ,301,东方盛虹,江苏,化纤,主板,20000529,0,dong-fang-sheng-hong000301.SZ东方盛虹,,,,,,,,,,,,,,,,,,,,
000333.SZ,333,美的集团,广东,家用电器,主板,20130918,0,mei-de-ji-tuan000333.SZ美的集团,,,,,,,,,,,,,,,,,,,,
000338.SZ,338,潍柴动力,山东,汽车配件,主板,20070430,0,wei-chai-dong-li000338.SZ潍柴动力,,,,,,,,,,,,,,,,,,,,
000400.SZ,400,许继电气,河南,电气设备,主板,19970418,0,xu-ji-dian-qi000400.SZ许继电气,,,,,,,,,,,,,,,,,,,,
000401.SZ,401,冀东水泥,河北,水泥,主板,19960614,0,ji-dong-shui-ni000401.SZ冀东水泥,,,,,,,,,,,,,,,,,,,,
000402.SZ,402,金融街,北京,全国地产,主板,19960626,0,jin-rong-jie000402.SZ金融街,,,,,,,,,,,,,,,,,,,,
000403.SZ,403,双林生物,山西,生物制药,主板,19960628,0,shuang-lin-sheng-wu000403.SZ双林生物,,,,,,,,,,,,,,,,,,,,
000404.SZ,404,长虹华意,江西,专用机械,主板,19960619,0,chang-hong-hua-yi000404.SZ长虹华意,,,,,,,,,,,,,,,,,,,,
